text,tokens,token_ids
"Hello, how are you doing today? I was ","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġ']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 220]"
"Hello, how are you doing today? I was t","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġt']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 256]"
"Hello, how are you doing today? I was th","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġth']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 294]"
"Hello, how are you doing today? I was thi","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġth', 'i']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 294, 72]"
"Hello, how are you doing today? I was thin","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthin']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 7888]"
"Hello, how are you doing today? I was think","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthink']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 892]"
"Hello, how are you doing today? I was thinki","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthink', 'i']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 892, 72]"
"Hello, how are you doing today? I was thinkin","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthink', 'in']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 892, 259]"
"Hello, how are you doing today? I was thinking","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612]"
"Hello, how are you doing today? I was thinking ","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġ']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 220]"
"Hello, how are you doing today? I was thinking o","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġo']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 267]"
"Hello, how are you doing today? I was thinking on","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319]"
"Hello, how are you doing today? I was thinking on ","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġ']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 220]"
"Hello, how are you doing today? I was thinking on g","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġg']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 308]"
"Hello, how are you doing today? I was thinking on go","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgo']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 467]"
"Hello, how are you doing today? I was thinking on goi","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgo', 'i']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 467, 72]"
"Hello, how are you doing today? I was thinking on goin","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgo', 'in']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 467, 259]"
"Hello, how are you doing today? I was thinking on going","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016]"
"Hello, how are you doing today? I was thinking on going ","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġ']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 220]"
"Hello, how are you doing today? I was thinking on going t","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġt']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 256]"
"Hello, how are you doing today? I was thinking on going to","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284]"
"Hello, how are you doing today? I was thinking on going to ","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġ']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 220]"
"Hello, how are you doing today? I was thinking on going to t","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġt']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 256]"
"Hello, how are you doing today? I was thinking on going to th","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġth']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 294]"
"Hello, how are you doing today? I was thinking on going to the","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262]"
"Hello, how are you doing today? I was thinking on going to the ","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġ']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 220]"
"Hello, how are you doing today? I was thinking on going to the p","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġp']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 279]"
"Hello, how are you doing today? I was thinking on going to the pa","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpa']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 14187]"
"Hello, how are you doing today? I was thinking on going to the par","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpar']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 1582]"
"Hello, how are you doing today? I was thinking on going to the park","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952]"
"Hello, how are you doing today? I was thinking on going to the park ","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġ']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 220]"
"Hello, how are you doing today? I was thinking on going to the park t","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġt']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 256]"
"Hello, how are you doing today? I was thinking on going to the park to","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284]"
"Hello, how are you doing today? I was thinking on going to the park to ","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġ']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 220]"
"Hello, how are you doing today? I was thinking on going to the park to e","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġe']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 304]"
"Hello, how are you doing today? I was thinking on going to the park to ea","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġe', 'a']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 304, 64]"
"Hello, how are you doing today? I was thinking on going to the park to eat","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483]"
"Hello, how are you doing today? I was thinking on going to the park to eat ","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġ']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 220]"
"Hello, how are you doing today? I was thinking on going to the park to eat s","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġs']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 264]"
"Hello, how are you doing today? I was thinking on going to the park to eat so","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġso']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 523]"
"Hello, how are you doing today? I was thinking on going to the park to eat som","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsom']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 3870]"
"Hello, how are you doing today? I was thinking on going to the park to eat some","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617]"
"Hello, how are you doing today? I was thinking on going to the park to eat some ","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġ']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 220]"
"Hello, how are you doing today? I was thinking on going to the park to eat some w","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġw']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 266]"
"Hello, how are you doing today? I was thinking on going to the park to eat some wa","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwa']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 2082]"
"Hello, how are you doing today? I was thinking on going to the park to eat some wat","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwat']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 4383]"
"Hello, how are you doing today? I was thinking on going to the park to eat some wate","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġw', 'ate']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 266, 378]"
"Hello, how are you doing today? I was thinking on going to the park to eat some water","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660]"
"Hello, how are you doing today? I was thinking on going to the park to eat some waterm","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'm']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 76]"
"Hello, how are you doing today? I was thinking on going to the park to eat some waterme","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'me']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 1326]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermel","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'mel']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 17694]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelo","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'mel', 'o']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 17694, 78]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon.","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon. ","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.', 'Ġ']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13, 220]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon. T","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.', 'ĠT']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13, 309]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon. Th","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.', 'ĠTh']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13, 536]"
